;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;0;1;4
Sailboat;0;0;0;1;4
Mad/Sad/Glad;0;0;0;0;5
Mood++;0;0;0;1;3
4L;0;1;1;1;1
360 Degrees;0;0;0;0;4
