;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;4;1;0
Sailboat;0;1;3;1;0
Mad/Sad/Glad;1;1;1;1;1
Mood++;0;0;1;2;1
4L;1;1;1;1;0
360 Degrees;0;1;1;1;1
