;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;1;4;0
Sailboat;0;0;3;0;2
Mad/Sad/Glad;1;1;1;1;1
Mood++;0;0;0;3;1
4L;1;1;0;1;1
360 Degrees;0;0;0;2;2
