;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;2;3;0
Sailboat;0;0;1;3;1
Mad/Sad/Glad;0;0;3;1;1
Mood++;0;0;0;2;2
4L;0;1;2;0;1
360 Degrees;0;0;0;0;4
