;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;1;2;1
Sailboat;0;0;2;3;0
Mad/Sad/Glad;0;0;1;3;1
Mood++;0;0;0;1;3
4L;0;0;1;2;1
360 Degrees;0;0;0;1;3
