;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;3;2;0
Sailboat;0;0;2;3;0
Mad/Sad/Glad;0;1;2;2;0
Mood++;0;0;1;3;0
4L;0;0;1;3;0
360 Degrees;0;1;2;1;0
