"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",3,3.33333333333333,3,3.6,3.14285714285714,2.75,3.14705882352941
"Sailboat",3.5,2.83333333333333,3.22222222222222,4,3.33333333333333,3.28571428571429,3.325
"Mad/Sad/Glad",,,3,3.6,3.33333333333333,3.4,3.28571428571429
"Mood++",2.75,3.66666666666667,2.75,4.5,3.33333333333333,3.6,3.36111111111111
"5L's",2.5,3.5,2.77777777777778,3.25,2.5,3.33333333333333,3
"360 Degrees",3.25,4,3.22222222222222,5,4.25,3.83333333333333,3.86486486486486
