"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",3,3.66666666666667,2.75,3,2.85714285714286,3.5,3.08823529411765
"Sailboat",3.25,2.33333333333333,3.11111111111111,3.6,3.22222222222222,3.28571428571429,3.125
"Mad/Sad/Glad",,,3,3,3.22222222222222,3,3.07142857142857
"Mood++",2.5,2.66666666666667,2.75,4,3.22222222222222,3,3
"5L's",3,2.66666666666667,2.66666666666667,2.5,3,3.16666666666667,2.83783783783784
"360 Degrees",3,3.66666666666667,3.33333333333333,4.25,3.375,3.16666666666667,3.43243243243243
