"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",4,3.5,3,3.6,3.42857142857143,2.75,3.35294117647059
"Sailboat",4,3,2.88888888888889,3.6,3.44444444444444,3.57142857142857,3.35
"Mad/Sad/Glad",,,2.88888888888889,4,3.33333333333333,4.2,3.46428571428571
"Mood++",3.5,3.66666666666667,3.125,4.75,3.44444444444444,3,3.5
"5L's",3.25,3.5,2.33333333333333,4,3.375,4,3.2972972972973
"360 Degrees",3.5,4,4,4.75,3.375,3.83333333333333,3.86486486486486
