"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",3.75,3.5,3.25,3.4,3.14285714285714,3.25,3.35294117647059
"Sailboat",4,3,3,3.2,3.33333333333333,3.57142857142857,3.3
"Mad/Sad/Glad",,,3.66666666666667,3.2,3.11111111111111,3.2,3.32142857142857
"Mood++",3,3.5,2.875,3.75,3.55555555555556,3.4,3.33333333333333
"5L's",2.25,3,3.11111111111111,2.75,3.375,3.5,3.08108108108108
"360 Degrees",2.5,2.16666666666667,3.77777777777778,3.75,3,3.5,3.16216216216216
