"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",2.75,3.33333333333333,2.75,3.8,3.14285714285714,2.5,3.05882352941176
"Sailboat",3.75,2.83333333333333,3.33333333333333,3.8,3.55555555555556,3.28571428571429,3.4
"Mad/Sad/Glad",,,3.11111111111111,3,2.88888888888889,2.8,2.96428571428571
"Mood++",2.5,2.66666666666667,2.125,4.25,3.33333333333333,3,2.91666666666667
"5L's",2.5,4,2.66666666666667,3,3.75,3.5,3.27027027027027
"360 Degrees",3.25,3.5,3.33333333333333,4.5,3.5,3.83333333333333,3.59459459459459
