"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",5,4.33333333333333,4.5,4.8,4.28571428571429,4.5,4.52941176470588
"Sailboat",4.5,4.16666666666667,4.11111111111111,4.8,4.11111111111111,4.83333333333333,4.35897435897436
"Mad/Sad/Glad",,,4.55555555555556,5,4.77777777777778,4.75,4.74074074074074
"Mood++",3.75,4,3.5,4.75,4.77777777777778,4.75,4.22857142857143
"5L's",3.5,3.33333333333333,4.22222222222222,3.5,3.875,4.2,3.83333333333333
"360 Degrees",4.75,3.83333333333333,3.77777777777778,5,4.5,5,4.36111111111111
