"","OKE_A","OKE_B","Dyna_A","Dyna_B","Senti_A","Senti_B","ALL"
"Starfish",3,3.33333333333333,2.875,3.2,2.85714285714286,2.33333333333333,2.91666666666667
"Sailboat",3.25,2.16666666666667,2.66666666666667,3,2.88888888888889,3.85714285714286,2.95
"Mad/Sad/Glad",,,3.11111111111111,3,3.22222222222222,2.33333333333333,2.96551724137931
"Mood++",2.25,2.83333333333333,2.75,4,3.33333333333333,3,3.02702702702703
"5L's",2,3,2.33333333333333,2.5,3.375,2.8,2.72222222222222
"360 Degrees",2.5,2.5,3,3.5,3,3,2.91666666666667
