;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;3;4;1;0
Sailboat;1;0;3;5;0
Mad/Sad/Glad;0;2;4;3;0
4L;2;1;4;2;0
Mood++;2;3;3;0;0
360 Degrees;0;4;0;3;2
