;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;2;4;2;0
Sailboat;1;0;4;4;0
Mad/Sad/Glad;0;2;5;2;0
4L;0;5;1;3;0
Mood++;1;2;3;2;0
360 Degrees;0;1;5;3;0
