;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;2;3;2;1
Sailboat;1;2;3;2;1
Mad/Sad/Glad;0;1;3;3;2
4L;1;1;4;2;1
Mood++;1;1;4;2;0
360 Degrees;0;1;1;6;1
