;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;1;2;1;4;0
Sailboat;0;3;4;2;0
Mad/Sad/Glad;1;1;5;2;0
4L;1;5;2;1;0
Mood++;0;3;1;4;0
360 Degrees;0;0;2;5;2
