;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;3;4;1;0
Sailboat;1;1;3;4;0
Mad/Sad/Glad;0;1;7;1;0
4L;0;4;4;1;0
Mood++;1;3;1;3;0
360 Degrees;0;1;5;2;1
