;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;3;3;2;0
Sailboat;0;1;4;4;0
Mad/Sad/Glad;0;1;6;2;0
4L;0;3;4;2;0
Mood++;0;4;0;4;0
360 Degrees;0;3;2;4;0
