;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;1;2;5
Sailboat;0;1;0;5;3
Mad/Sad/Glad;0;0;1;2;6
4L;0;0;1;5;3
Mood++;0;2;1;4;1
360 Degrees;0;1;2;4;2
