;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;1;1;4;2;0
Sailboat;1;3;3;2;0
Mad/Sad/Glad;0;2;4;3;0
4L;1;4;4;0;0
Mood++;2;1;2;3;0
360 Degrees;0;3;3;3;0
