;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;1;1;3;2;0
Sailboat;1;3;2;2;1
Mad/sad/glad;0;1;5;3;0
Mood++;0;2;2;5;0
5L's;0;0;5;3;0
360 Degrees;0;3;2;3;0
Mountain climbing;2;0;3;2;0
