;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;4;2;0
Sailboat;0;1;4;4;0
Mad/sad/glad;0;0;6;3;0
Mood++;0;0;6;3;0
5L's;0;2;2;0;0
360 Degrees;0;0;0;6;2
Mountain climbing;1;2;3;1;0
