;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;2;2;3;0
Sailboat;0;1;3;4;1
Mad/sad/glad;0;2;6;1;0
Mood++;0;1;5;2;1
5L's;0;0;2;6;0
360 Degrees;0;1;3;3;1
Mountain climbing;1;2;3;1;0
