;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;1;2;1;3;0
Sailboat;0;2;4;2;1
Mad/sad/glad;0;1;5;3;0
Mood++;0;1;5;3;0
5L's;0;2;4;2;0
360 Degrees;0;1;4;2;1
Mountain climbing;2;1;3;1;0
