;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;3;2;1
Sailboat;0;2;2;4;1
Mad/sad/glad;0;1;4;4;0
Mood++;0;1;4;3;1
5L's;0;1;3;4;0
360 Degrees;0;2;3;1;2
Mountain climbing;1;2;3;1;0
