;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;2;1;4
Sailboat;0;0;2;4;3
Mad/sad/glad;0;0;0;2;7
Mood++;0;0;0;2;7
5L's;0;1;1;4;2
360 Degrees;0;0;0;4;4
Mountain climbing;0;0;0;2;5
