;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;1;1;1;0;1
Sailboat;0;1;2;3;1
Mad/sad/glad;0;0;1;2;2;
Mood++;1;1;1;1;1
5L's;0;0;2;2;2
360 Degrees;0;0;3;1;2
Mountain climbing;0;0;0;3;2
