;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;1;0;3
Sailboat;0;0;0;1;5
Mad/sad/glad;0;0;0;1;3
Mood++;0;0;0;1;3
5L's;0;0;1;2;2
360 Degrees;0;0;0;0;5
Mountain climbing;0;0;0;2;3
