;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;2;2;0;0
Sailboat;0;2;2;2;1
Mad/sad/glad;1;1;1;2;0
Mood++;0;2;2;0;1
5L's;0;0;4;1;1
360 Degrees;0;0;2;3;1
Mountain climbing;0;0;3;2;0
