;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;2;1;1;0
Sailboat;0;2;3;0;2
Mad/sad/glad;0;1;2;1;1
Mood++;0;0;3;1;1
5L's;0;2;0;4;0
360 Degrees;0;0;1;5;0
Mountain climbing;0;0;1;3;1
