;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;1;1;1
Sailboat;0;0;5;2;0
Mad/sad/glad;1;0;3;0;1
Mood++;0;1;3;1;0
5L's;0;1;3;2;0
360 Degrees;0;1;4;0;1
Mountain climbing;0;0;2;2;1
