;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;1;2;0
Sailboat;0;1;2;3;1
Mad/sad/glad;0;0;4;1;0
Mood++;0;1;2;1;1
5L's;0;2;1;1;2
360 Degrees;0;1;2;2;1
Mountain climbing;0;1;1;2;1
