;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;4;2;0;0
Sailboat;0;1;0;5;1
Mad/sad/glad;0;5;0;1;0
Mood++;1;0;4;0;1
5L's;0;3;0;2;0
360 Degrees;0;1;3;1;0
Mountain climbing;0;1;3;2;0
