;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;0;0;4
Sailboat;0;0;0;2;2
Mood++;0;0;2;1;1
5L's;0;0;2;2;0
360 Degrees;0;0;0;1;3
