;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;1;3;0
Sailboat;0;0;0;4;0
Mood++;0;1;2;1;0
5L's;0;3;1;0;0
360 Degrees;1;1;1;1;0
