;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;1;2;1
Sailboat;0;0;0;4;0
Mood++;0;0;2;2;0
5L's;0;0;3;1;0
360 Degrees;0;0;2;2;0
