;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;2;3;0
Sailboat;0;1;5;0;0
Mood++;0;0;3;2;1
5L's;0;0;3;3;0
360 Degrees;0;1;1;1;3
