;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;0;2;4;0
Sailboat;0;4;2;0;0
Mood++;0;3;2;1;0
5L's;0;2;4;0;0
360 Degrees;0;1;1;3;1
