;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;0;1;4
Sailboat;0;0;1;3;2
Mood++;0;1;0;3;2
5L's;0;1;3;1;1
360 Degrees;1;1;0;0;4
