;Strongly Disagree;Somewhat Disagree;Neither Agree nor Disagree;Somewhat Agree;Strongly Agree
Starfish;0;1;1;4;0
Sailboat;0;2;3;0;1
Mood++;0;1;1;4;0
5L's;0;1;4;1;0
360 Degrees;1;3;2;0;0
